Dia;Dia_mes;Mes;Dia_sem;Lluvia;Lluvia_SN;Fecha;T_MAX_ALERTA;T_MAX;T_MIN;Viento_MAX;Viento_MED;SO2;CO;NO;NO2;PM2.5_UMBRAL;PM2.5;PM10_UMBRAL;PM10;O3;TOL;BEN;EBE;TCH;NMCH;SO2_MAX;CO_MAX;NO_MAX;NO2_MAX;PM2.5_MAX;PM10_MAX;O3_MAX;TOL_MAX;BEN_MAX;EBE_MAX;TCH_MAX;O3_Nivel;Dia_sem_num;Mes2
65;6;MAR;V;0;No;06/03/2015;V;18.6;4.6;36;17;8.4;0.5;4.766.666.667;60;No;8.5;No;2.016.666.667;3.764.285.714;3.216.666.667;0.95;0.616666667;1.576.666.667;0.473333333;18;0.8;113;82;12;29;50;5;2.2;1;1.86;V;6;MAR
66;7;MAR;S;0;No;07/03/2015;V;21.3;5.6;20;11;9.7;0.57;6.329.166.667;7.083.333.333;No;15;No;2.658.333.333;2.521.428.571;4.3;1.166.666.667;0.833333333;1.663.333.333;0.46;17;0.9;140;89;20;40;42;6.7;2.5;1.4;1.96;V;5;MAR
67;8;MAR;D;0;No;08/03/2015;V;22.6;6.5;31;15;7.8;0.41;28.625;4.958.333.333;No;1.033.333.333;No;1.766.666.667;3.814.285.714;2.816.666.667;0.9;0.566666667;1.643.333.333;0.513333333;15;0.8;76;69;14;28;64;4.4;1.9;1.1;1.93;V;1;MAR
68;9;MAR;L;0;No;09/03/2015;V;22.1;6.5;19;10;8.5;0.47;4.320.833.333;6.570.833.333;No;1.016.666.667;No;2.266.666.667;3.407.142.857;3.2;0.916666667;0.583333333;1.563.333.333;0.426666667;14;0.8;102;88;12;33;52;4.6;2;1.1;1.83;V;3;MAR
69;10;MAR;M;0;No;10/03/2015;V;22.9;8.5;21;10;7.7;0.48;4.508.333.333;6.933.333.333;No;11.4;No;2.363.636.364;2.878.571.429;3.933.333.333;0.983333333;0.75;1.606.666.667;0.426666667;12;0.8;113;91;14;35;46;6.4;2.3;1.2;1.95;V;4;MAR
70;11;MAR;X;0;No;11/03/2015;V;22.4;6.3;19;9;8.9;0.54;50.625;7.754.166.667;No;19;No;33.25;2.907.142.857;4.55;1.2;1;1.65;0.433333333;13;0.9;102;105;23;47;46;6.8;2.8;1.5;1.98;V;7;MAR
71;12;MAR;J;0;No;12/03/2015;V;21.7;8.3;24;12;8.1;0.49;4.570.833.333;7.320.833.333;No;21.5;No;3.358.333.333;2.992.857.143;4.033.333.333;1.1;1.033.333.333;1.636.666.667;0.49;13;0.8;86;104;26;49;47;7.1;2.8;2.6;1.96;V;2;MAR
72;13;MAR;V;0;No;13/03/2015;V;18.4;9.2;41;19;7.9;0.36;2.045.833.333;43.75;No;15;No;2.858.333.333;40;2.75;0.716666667;0.7;1.543.333.333;0.46;22;0.7;51;65;19;35;55;5.1;1.9;1.6;1.83;V;6;MAR
73;14;MAR;S;0;No;14/03/2015;V;13.8;4.5;43;19;6.3;0.3;5.25;2.208.333.333;No;3.5;No;9.75;7.021.428.571;0.983333333;0.433333333;0.183333333;1.436.666.667;0.326666667;15;0.6;24;43;5;18;83;1.8;1.1;0.4;1.64;A;5;MAR
74;15;MAR;D;0;No;15/03/2015;V;9.5;2.6;30;14;6.4;0.31;4.541.666.667;24.75;No;9.833.333.333;No;1.216.666.667;6.528.571.429;0.716666667;0.45;0.166666667;1.446.666.667;0.22;15;0.6;16;45;12;17;85;1.4;1.2;0.3;1.63;A;1;MAR
75;16;MAR;L;0;No;16/03/2015;V;12.8;1.7;24;12;7.1;0.42;21;4.745.833.333;No;15.5;No;1.966.666.667;4.585.714.286;1.766.666.667;0.733333333;0.383333333;1.513.333.333;0.32;16;0.7;53;61;19;29;57;3.7;2.1;0.8;1.76;V;3;MAR
76;17;MAR;M;0;No;17/03/2015;V;13.9;4.9;38;19;8.3;0.34;1.141.666.667;4.358.333.333;No;1.833.333.333;No;2.658.333.333;51;2.116.666.667;0.7;0.366666667;1.523.333.333;0.373333333;29;0.6;30;67;22;34;73;4.1;1.9;0.7;1.77;V;4;MAR
77;18;MAR;X;5.4;Si;18/03/2015;V;9.3;3;32;15;7.8;0.34;8.625;3.670.833.333;No;9.166.666.667;No;1.208.333.333;5.778.571.429;1.35;0.633333333;0.266666667;1.463.333.333;0.37;33;0.7;35;62;11;21;80;2.4;1.5;0.5;1.66;A;7;MAR
78;19;MAR;J;2.8;Si;19/03/2015;V;12.1;5.9;45;21;7.2;0.31;3.791.666.667;2.104.166.667;No;7.333.333.333;No;11.25;6.314.285.714;0.816666667;0.5;0.183333333;1.433.333.333;0.36;26;0.6;16;41;8;16;82;1.7;1.2;0.5;1.65;A;2;MAR
79;20;MAR;V;3.2;Si;20/03/2015;V;13.1;8.6;58;27;7.4;0.31;5.208.333.333;2.408.333.333;No;11.5;No;1.558.333.333;6.521.428.571;1.033.333.333;0.55;0.283333333;1.436.666.667;0.393333333;24;0.6;24;47;13;20;88;2.2;1.2;0.6;1.65;A;6;MAR
80;21;MAR;S;3.7;Si;21/03/2015;V;11.9;7;41;18;7.1;0.31;4.541.666.667;22;No;6.666.666.667;No;7.916.666.667;6.114.285.714;0.783333333;0.5;0.2;1.436.666.667;0.373333333;23;0.6;20;45;9;13;81;1.6;1.2;0.4;1.65;A;5;MAR
81;22;MAR;D;5.2;Si;22/03/2015;V;12.5;7.7;33;7;7.9;0.32;4.458.333.333;2.129.166.667;No;4.833.333.333;No;8.333.333.333;5.907.142.857;0.666666667;0.533333333;0.166666667;1.45;0.386666667;30;0.6;21;42;6;16;77;1.2;1.3;0.3;1.66;A;1;MAR
82;23;MAR;L;18.6;Si;23/03/2015;V;8.7;6.2;26;13;6.8;0.41;1.866.666.667;46.375;No;7;No;8;3.121.428.571;1.933.333.333;0.766666667;0.3;1.463.333.333;0.356666667;16;0.7;49;66;10;13;59;4.3;1.9;0.5;1.66;V;3;MAR
83;24;MAR;M;0.8;Si;24/03/2015;V;14.1;6.3;45;23;7.2;0.31;6.833.333.333;2.641.666.667;No;4.166.666.667;No;5.75;5.871.428.571;1.02;0.38;0.26;1.436.666.667;0.313333333;20;0.6;29;49;6;10;81;2.3;0.6;0.5;1.63;A;4;MAR
84;25;MAR;X;0;No;25/03/2015;V;10.5;3.7;57;26;5.6;0.28;6.5;1.995.833.333;No;2.833.333.333;No;6.416.666.667;7.492.857.143;1.34;0.5;0.26;1.43;0.39;12;0.6;19;36;4;11;91;3.3;1.3;0.4;1.65;A;7;MAR
